
[Name]
btm_1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-1.16666663e-03, -1.00000005e-03, -1.49999996e-05, 2.77521240e+02, 0.00000000e+00, -1.83333337e-01, -1.16666663e-03, -1.00000005e-03
-1.16666663e-03, -1.00000005e-03, 1.49999996e-05, 2.77521240e+02, 0.00000000e+00, -1.83333337e-01, -1.16666663e-03, -1.00000005e-03
-1.08333328e-03, -1.00000005e-03, -1.49999996e-05, 3.07580505e+02, 0.00000000e+00, -1.91666663e-01, -1.08333328e-03, -1.00000005e-03
-1.08333328e-03, -1.00000005e-03, 1.49999996e-05, 3.07580505e+02, 0.00000000e+00, -1.91666663e-01, -1.08333328e-03, -1.00000005e-03
-8.33333324e-05, -1.00000005e-03, 1.49999996e-05, 6.78385254e+02, 0.00000000e+00, -2.91666657e-01, -8.33333324e-05, -1.00000005e-03
-8.33333324e-05, -1.00000005e-03, -1.49999996e-05, 6.78385254e+02, 0.00000000e+00, -2.91666657e-01, -8.33333324e-05, -1.00000005e-03
0.00000000e+00, -1.00000005e-03, -1.49999996e-05, 6.59027771e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.00000005e-03
0.00000000e+00, -1.00000005e-03, 1.49999996e-05, 6.59027771e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.00000005e-03
-1.00000005e-03, -1.00000005e-03, -1.49999996e-05, 3.37867615e+02, 0.00000000e+00, -2.00000003e-01, -1.00000005e-03, -1.00000005e-03
-1.00000005e-03, -1.00000005e-03, 1.49999996e-05, 3.37867615e+02, 0.00000000e+00, -2.00000003e-01, -1.00000005e-03, -1.00000005e-03
-9.16666642e-04, -1.00000005e-03, -1.49999996e-05, 3.66603912e+02, 0.00000000e+00, -2.08333343e-01, -9.16666642e-04, -1.00000005e-03
-9.16666642e-04, -1.00000005e-03, 1.49999996e-05, 3.66603912e+02, 0.00000000e+00, -2.08333343e-01, -9.16666642e-04, -1.00000005e-03
-8.33333354e-04, -1.00000005e-03, -1.49999996e-05, 3.94166107e+02, 0.00000000e+00, -2.16666669e-01, -8.33333354e-04, -1.00000005e-03
-8.33333354e-04, -1.00000005e-03, 1.49999996e-05, 3.94166107e+02, 0.00000000e+00, -2.16666669e-01, -8.33333354e-04, -1.00000005e-03
-7.50000007e-04, -1.00000005e-03, -1.49999996e-05, 4.21457825e+02, 0.00000000e+00, -2.24999994e-01, -7.50000007e-04, -1.00000005e-03
-7.50000007e-04, -1.00000005e-03, 1.49999996e-05, 4.21457825e+02, 0.00000000e+00, -2.24999994e-01, -7.50000007e-04, -1.00000005e-03
-6.66666660e-04, -1.00000005e-03, -1.49999996e-05, 4.49126953e+02, 0.00000000e+00, -2.33333334e-01, -6.66666660e-04, -1.00000005e-03
-6.66666660e-04, -1.00000005e-03, 1.49999996e-05, 4.49126953e+02, 0.00000000e+00, -2.33333334e-01, -6.66666660e-04, -1.00000005e-03
-5.83333313e-04, -1.00000005e-03, -1.49999996e-05, 4.78418213e+02, 0.00000000e+00, -2.41666675e-01, -5.83333313e-04, -1.00000005e-03
